department_number,department_phone_number,number_of_beds
316,530-275-7784,52
317,431-295-4361,41
318,747-979-0746,7
319,288-537-4239,25
320,512-403-3773,78
321,801-600-7577,7
322,312-203-2014,14
323,398-353-0641,68
324,693-962-4135,50
325,155-917-2551,56
326,975-889-4565,58
327,904-232-7108,10
328,363-555-9008,70
329,720-954-1122,77
330,520-188-7596,65
331,887-356-2742,22
332,238-992-8119,87
333,211-738-8530,20
334,169-742-6041,77
335,164-823-8081,77
336,186-265-0968,95
337,569-312-7584,26
338,623-977-5788,79
339,158-907-6131,53
340,632-912-9262,34
341,574-745-2102,64
342,209-743-5514,73
343,347-567-2694,27
344,464-551-1071,93
345,899-784-5570,99
346,386-476-0532,62
347,442-197-9490,34
348,822-942-8578,37
349,358-900-6194,4
350,593-221-7958,97
351,514-726-3362,80
352,971-275-8396,76
353,997-520-2714,66
354,227-663-8038,76
355,549-257-0907,39
356,529-915-2035,13
357,848-343-4011,99
358,217-819-2060,55
359,476-159-0239,35
360,930-776-3088,6
361,475-840-1125,46
362,206-361-5372,79
363,627-737-6207,42
364,301-955-0874,21
365,346-130-1829,94
366,531-635-3707,44
367,358-388-9590,60
368,269-649-2598,12
369,300-709-8822,20
370,413-513-0930,45
371,332-597-3048,9
372,635-347-2675,3
373,292-775-5619,53
374,863-493-9668,63
375,858-344-7547,30
376,307-474-5299,69
377,685-958-5708,10
378,586-965-2871,40
379,468-176-2161,63
380,285-411-7013,95
381,425-130-1425,59
382,576-424-4632,79
383,286-572-2783,43
384,505-417-7071,12
385,769-683-1442,98
386,610-800-7729,54
387,371-964-1742,40
388,654-363-6840,27
389,630-173-3543,23
390,976-306-0898,25
391,150-120-4423,49
392,291-632-6563,60
393,931-619-0406,80
394,813-236-1934,21
395,297-231-6791,49
396,573-847-7190,58
397,447-239-5677,93
398,518-764-6982,9
399,353-539-6371,10
400,361-448-6068,46
